,Value
0,46.35879793941591
1,49.11165073728237
2,48.78496968548617
3,48.96852311925669
4,46.630643829682185
5,51.0989923227424
6,46.955413932222726
7,51.858112867463326
8,49.68936590037275
9,45.57970370232075
10,50.60073393402371
11,52.63024462450169
12,53.060195704152115
13,47.55524042566128
14,48.89656221835509
15,50.65838626338071
16,45.10436282858949
17,48.19587781192915
18,46.325302706649836
19,44.72300769430076
20,49.97273863556157
21,46.502759526367626
22,48.46379479893611
23,47.35320794648197
24,51.67439832085752
25,48.07493644116528
26,47.92256522601396
27,48.807524349010215
28,42.7257976927293
29,47.87908094531414
30,45.78108726505958
31,49.089916256921526
32,49.18694259948474
33,48.926057147544995
34,48.46099294352545
35,44.924538601241785
36,47.38946320385209
37,48.50255377982723
38,47.12916061101482
39,48.54303442492792
40,50.194373936028114
41,49.85986990412975
42,53.27580606553254
43,45.504872594904874
44,49.13114528297371
45,48.123023971177325
46,47.594083455423615
47,46.134791718335116
48,42.80575178088808
49,45.95709008689086
