Value_initial,Value
49.69073271,70.37073271
52.64144064,73.32144064
52.29128012,72.97128012
52.48802604,73.16802604
49.98211691,70.66211691
54.77161795,75.45161795
50.33022914,71.01022914
55.58529858,76.26529858
53.26067778,73.94067778
48.85564282,69.53564282
54.23754835,74.91754835
56.41292558,77.09292558
56.87377843,77.55377843
50.97316682,71.65316682
52.41089311,73.09089311
54.29934431,74.97934431
48.34613789,69.02613789
51.65984858,72.33984858
49.65483008,70.33483008
47.9373737,68.6173737
53.5644173,74.2444173
49.84504121,70.52504121
51.9470215,72.6270215
50.75661371,71.43661371
55.38837996,76.06837996
51.53021482,72.21021482
51.36689227,72.04689227
52.31545585,72.99545585
45.79661871,66.47661871
51.32028265,72.00028265
49.07150037,69.75150037
52.61814404,73.29814404
52.72214393,73.40214393
52.44250792,73.12250792
51.94401827,72.62401827
48.15338919,68.83338919
50.79547473,71.47547473
51.9885662,72.6685662
50.51646347,71.19646347
52.0319563,72.7119563
53.80198214,74.48198214
53.44343638,74.12343638
57.1048853,77.7848853
48.77543339,69.45543339
52.66233631,73.34233631
51.58175854,72.26175854
51.01480161,71.69480161
49.45062654,70.13062654
45.88231932,66.56231932
49.26015301,69.94015301
