,Value
0,60.937477756575746
1,61.15892804430165
2,63.51928950324153
3,61.806672056496595
4,65.34355214496415
5,69.95130022651257
6,59.77135827152241
7,62.88391483684296
8,55.76855545826292
9,64.76014709309882
10,68.4502296348954
11,63.36292743100499
12,66.31930582117255
13,62.94126691277428
14,66.36140009678596
15,60.43086868074364
16,62.10347850181207
17,64.48517406130733
18,60.057630007293874
19,65.04843111884034
20,61.683422447589095
21,58.70947803928739
22,68.91974137837238
23,60.44855099890552
24,64.49015011732169
25,65.85520964055513
26,61.063735095853794
27,61.417519277510706
28,73.24176468393773
29,68.72369693667888
30,62.44548539506517
31,67.21547449209238
32,62.812225867627745
33,63.769694839032205
34,69.3307292080106
35,67.943019161058
36,67.35189536591164
37,68.02732211466832
38,62.81532784348257
39,62.91175672766966
40,59.14478295035482
41,68.71431584089893
42,62.191692282696124
43,63.24566677137928
44,71.05517385998118
45,64.19428488363549
46,71.22203539414807
47,61.95967576026484
48,58.39427073997773
49,61.84824251316273
