Value_initial,Value
65.31722249,85.03722249
65.55458902,85.27458902
68.08459617,87.80459617
66.24888818,85.96888818
70.0399736,89.7599736
74.97889326,94.69889326
64.06729078,83.78729078
67.40355537,87.12355537
59.77679548,79.49679548
69.41463762,89.13463762
73.36993658,93.08993658
67.91699592,87.63699592
71.08585739,90.80585739
67.4650295,87.1850295
71.1309771,90.8509771
64.77420202,84.49420202
66.56702692,86.28702692
69.11990152,88.83990152
64.37413765,84.09413765
69.72364141,89.44364141
66.11678028,85.83678028
62.92909028,82.64909028
73.87319343,93.59319343
64.79315521,84.51315521
69.12523522,88.84523522
70.58840534,90.30840534
65.45255429,85.17255429
65.83176592,85.55176592
78.50585248,98.22585248
73.66305873,93.38305873
66.9336148,86.6536148
72.04643618,91.76643618
67.32671392,87.04671392
68.35299883,88.07299883
74.31372009,94.03372009
72.82627149,92.54627149
72.192662,91.912662
72.91663353,92.63663353
67.33003884,87.05003884
67.43339834,87.15339834
63.39568176,83.11568176
73.65300339,93.37300339
66.66158087,86.38158087
67.79130742,87.51130742
76.16210534,95.88210534
68.80810533,88.52810533
76.34095967,96.06095967
66.41288868,86.13288868
62.59122816,82.31122816
66.29344642,86.01344642
