,Value
0,58.252650707052894
1,58.57659553575054
2,54.69287284196523
3,58.759080143589394
4,59.2332183080554
5,58.590195333766985
6,60.556232611934504
7,56.452190812288144
8,62.92598766108379
9,54.56297460831189
10,63.100855747412325
11,59.192415783010986
12,57.732552016682945
13,58.331273968787414
14,59.696002095636175
15,62.65535567557864
16,55.49260171637787
17,61.25595174838455
18,57.248866016220916
19,58.40302715717456
20,56.608634312093415
21,65.65642179131976
22,60.542346736635466
23,64.87239616997292
24,58.8473778112722
25,56.934788278938996
26,58.16659230037529
27,52.99744309236511
28,59.02557232338594
29,56.19514578958295
30,58.347218007140825
31,58.46993915858306
32,60.07009108253907
33,59.80345224311368
34,55.5996186612721
35,60.26158390429756
36,59.774309337576476
37,63.52572030082923
38,54.860833963444726
39,58.02172172413874
40,58.61451408548076
41,59.31586306823508
42,63.64307557628914
43,60.09837814716634
44,59.08480915946914
45,60.360711220761836
46,63.393449246921094
47,60.48076600414121
48,57.85855955624119
49,55.661551101750284
