Value_initial,Value
62.43942951,83.74942951
62.78665714,84.09665714
58.62380058,79.93380058
62.98225742,84.29225742
63.49047321,84.80047321
62.8012344,84.1112344
64.9085762,86.2185762
60.50956559,81.81956559
67.44865209,88.75865209
58.4845662,79.7945662
67.63608843,88.94608843
63.44673809,84.75673809
61.88194989,83.19194989
62.52370364,83.83370364
63.98651854,85.29651854
67.15856903,88.46856903
59.48100818,80.79100818
65.65858608,86.96858608
61.36350004,82.67350004
62.60061393,83.91061393
60.67725312,81.98725312
70.37533005,91.68533005
64.89369231,86.20369231
69.53495435,90.84495435
63.07690129,84.38690129
61.02684867,82.33684867
62.34718584,83.65718584
56.80651561,78.11651561
63.26790313,84.57790313
60.23404603,81.54404603
62.54079362,83.85079362
62.67233508,83.98233508
64.38749434,85.69749434
64.10169143,85.41169143
59.59571672,80.90571672
64.59275028,85.90275028
64.07045394,85.38045394
68.09148917,89.40148917
58.80383353,80.11383353
62.19190302,83.50190302
62.827301,84.137301
63.57905787,84.88905787
68.21727909,89.52727909
64.41781447,85.72781447
63.33139748,84.64139748
64.69900215,86.00900215
67.94971143,89.25971143
64.8276856,86.1376856
62.01701394,83.32701394
59.66210042,80.97210042
