id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
T63,OSS1,T63,turbine,-71.12875367,41.22673284,0.0,0.0,0.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4566112,11112,16668,1.92229223148265,0
T10,OSS2,T10,turbine,-71.03732027,41.12829963,0.0,0.0,0.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986,4555000,18520,5556,1.9222873305468728,0
T69,OSS1,T69,turbine,-71.12929484,41.24340388,0.0,1.0,0.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4567964,11112,18520,1.9152463549752128,0
T22,OSS2,T22,turbine,-71.03783641,41.14497192,0.0,1.0,0.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986,4556852,18520,7408,2.6856192121270994,0
T70,OSS1,T70,turbine,-71.15138183,41.24299313,0.0,2.0,0.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726,4567964,9260,18520,2.685139351253984,0
T20,OSS2,T20,turbine,-70.99372467,41.14574414,0.0,2.0,0.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690,4556852,22224,7408,1.9152332575837177,0
T71,OSS1,T71,turbine,-71.12983646,41.26007486,0.0,3.0,0.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4569816,11112,20372,2.685648080814547,0
T64,OSS1,T64,turbine,-71.15083506,41.22632233,1.0,0.0,1.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726,4566112,9260,16668,1.9152776802984088,0
T11,OSS2,T11,turbine,-71.08141913,41.12751099,1.0,0.0,1.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282,4555000,14816,5556,1.9152926604852365,0
T65,OSS1,T65,turbine,-71.17291599,41.22590759,1.0,1.0,1.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874,4566112,7408,16668,1.9223313546723493,0
T24,OSS2,T24,turbine,-71.08194642,41.14418283,1.0,1.0,1.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282,4556852,14816,7408,1.915290515959247,0
T62,OSS1,T62,turbine,-71.10667183,41.22713912,2.0,0.0,2.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4566112,12964,16668,1.915275592094014,0
T7,OSS2,T7,turbine,-70.97116875,41.12945095,2.0,0.0,2.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,334542,4555000,24076,5556,3.76248485399997,0
T61,OSS1,T61,turbine,-71.08458954,41.22754117,2.0,1.0,2.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282,4566112,14816,16668,1.915219945057156,0
T6,OSS2,T6,turbine,-70.9491174,41.12982629,2.0,1.0,2.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,336394,4555000,25928,5556,2.6856340803436867,0
T60,OSS1,T60,turbine,-71.0625068,41.22793898,2.0,2.0,2.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,327134,4566112,16668,16668,1.9152369113730592,0
T5,OSS2,T5,turbine,-70.92706563,41.13019741,2.0,2.0,2.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,338246,4555000,27780,5556,1.9152219354848607,0
T66,OSS1,T66,turbine,-71.06303116,41.24461072,2.0,3.0,2.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,327134,4567964,16668,18520,1.9152055529450205,0
T4,OSS2,T4,turbine,-70.90501345,41.13056431,2.0,3.0,2.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,340098,4555000,29632,5556,1.9152646049307296,0
T67,OSS1,T67,turbine,-71.0851195,41.24421268,2.0,4.0,2.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282,4567964,14816,18520,1.915279375244165,0
T3,OSS2,T3,turbine,-70.88296087,41.13092699,2.0,4.0,2.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,341950,4555000,31484,5556,1.915294411708999,0
T68,OSS1,T68,turbine,-71.10720739,41.24381039,2.0,5.0,2.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4567964,12964,18520,4.211489831469058,0
T2,OSS2,T2,turbine,-70.86090789,41.13128546,2.0,5.0,2.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,343802,4555000,33336,5556,1.915238539735325,0
T1,OSS2,T1,turbine,-70.83885451,41.1316397,2.0,6.0,2.0,6.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,345654,4555000,35188,5556,1.9152235611780768,0
T58,OSS1,T58,turbine,-71.17236408,41.20923699,3.0,0.0,3.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874,4564260,7408,14816,1.9152079561655817,0
T82,OSS2,T82,turbine,-71.03680456,41.11162728,3.0,0.0,3.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986,4553148,18520,3704,1.922297132245027,0
T59,OSS1,T59,turbine,-71.19443895,41.20881826,3.0,1.0,3.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022,4564260,5556,14816,1.922303185224796,0
T90,OSS2,T90,turbine,-71.01425035,41.09534242,3.0,1.0,3.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,330838,4551296,20372,1852,2.6856445258649138,0
T89,OSS2,T89,turbine,-70.99221098,41.09572575,3.0,2.0,3.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690,4551296,22224,1852,1.915239831239056,0
T88,OSS2,T88,turbine,-70.97017119,41.09610486,3.0,3.0,3.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,334542,4551296,24076,1852,1.9152256036795805,0
T87,OSS2,T87,turbine,-70.94813098,41.09647976,3.0,4.0,3.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,336394,4551296,25928,1852,1.9152091590917035,0
T50,OSS1,T50,turbine,-71.1497429,41.19298058,4.0,0.0,4.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726,4562408,9260,12964,1.9151945695204933,0
T80,OSS2,T80,turbine,-70.99271512,41.1123986,4.0,0.0,4.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690,4553148,22224,3704,1.915178600940648,0
T51,OSS1,T51,turbine,-71.17181264,41.19256632,4.0,1.0,4.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874,4562408,7408,12964,2.6851677538334533,0
T79,OSS2,T79,turbine,-70.97066976,41.11277793,4.0,1.0,4.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,334542,4553148,24076,3704,1.9223173886747629,0
T52,OSS1,T52,turbine,-71.19388192,41.19214784,4.0,2.0,4.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022,4562408,5556,12964,1.9223234450449445,0
T77,OSS2,T77,turbine,-70.92657779,41.11352396,4.0,2.0,4.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,338246,4553148,27780,3704,5.63090840297642,0
T53,OSS1,T53,turbine,-71.21595072,41.19172513,4.0,3.0,4.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,314170,4562408,3704,12964,1.9223140974737347,0
T76,OSS2,T76,turbine,-70.90453118,41.11389064,4.0,3.0,4.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,340098,4553148,29632,3704,1.915272386239492,0
T75,OSS2,T75,turbine,-70.88248418,41.11425312,4.0,4.0,4.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,341950,4553148,31484,3704,2.6856735742860085,0
T74,OSS2,T74,turbine,-70.86043677,41.11461137,4.0,5.0,4.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,343802,4553148,33336,3704,1.9153177438912967,0
T73,OSS2,T73,turbine,-70.83838897,41.11496541,4.0,6.0,4.0,6.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,345654,4553148,35188,3704,1.922377901073183,0
T56,OSS1,T56,turbine,-71.10613672,41.2104678,5.0,0.0,5.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4564260,12964,14816,3.762673850586939,0
T55,OSS1,T55,turbine,-71.08406003,41.21086961,5.0,1.0,5.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282,4564260,14816,14816,1.915303134238943,0
T54,OSS1,T54,turbine,-71.06198289,41.21126719,5.0,2.0,5.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,327134,4564260,16668,14816,1.9223498906676515,0
T44,OSS1,T44,turbine,-71.14919751,41.17630962,6.0,0.0,6.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726,4560556,9260,11112,7.457355173993337,0
T45,OSS1,T45,turbine,-71.17126166,41.17589561,6.0,1.0,6.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874,4560556,7408,11112,1.9153735598359032,0
T46,OSS1,T46,turbine,-71.19332535,41.17547737,6.0,2.0,6.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022,4560556,5556,11112,1.915387682622144,0
T47,OSS1,T47,turbine,-71.21538857,41.17505491,6.0,3.0,6.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,314170,4560556,3704,11112,1.9154012057721344,0
T49,OSS1,T49,turbine,-71.12767271,41.19339061,7.0,0.0,7.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4562408,11112,12964,1.915414129297708,0
T43,OSS1,T43,turbine,-71.1271329,41.17671941,7.0,1.0,7.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4560556,11112,11112,1.9154273143916327,0
T36,OSS1,T36,turbine,-71.14865258,41.15963861,7.0,2.0,7.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726,4558704,9260,9260,1.9154406892245848,0
T37,OSS1,T37,turbine,-71.17071114,41.15922483,7.0,3.0,7.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874,4558704,7408,9260,2.6852638125948274,0
T38,OSS1,T38,turbine,-71.19276925,41.15880684,7.0,4.0,7.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022,4558704,5556,9260,2.685290814082553,0
T39,OSS1,T39,turbine,-71.21482688,41.15838462,7.0,5.0,7.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,314170,4558704,3704,9260,1.9153496484635164,0
T40,OSS1,T40,turbine,-71.23688405,41.15795819,7.0,6.0,7.0,6.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,312318,4558704,1852,9260,1.9153633517209576,0
T41,OSS1,T41,turbine,-71.25894074,41.15752753,7.0,7.0,7.0,7.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,310466,4558704,0,9260,1.9153773174735225,0
T48,OSS1,T48,turbine,-71.10560206,41.19379641,8.0,0.0,8.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4562408,12964,12964,5.911702271244921,0
T42,OSS1,T42,turbine,-71.10506785,41.17712498,8.0,1.0,8.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4560556,12964,11112,1.9153616962476048,0
T34,OSS1,T34,turbine,-71.10453408,41.16045349,8.0,2.0,8.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4558704,12964,9260,3.762764606333136,0
T35,OSS1,T35,turbine,-71.12659355,41.16004816,9.0,0.0,9.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4558704,11112,9260,1.9154033348391364,0
T26,OSS1,T26,turbine,-71.12605466,41.14337685,9.0,1.0,9.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4556852,11112,7408,1.915415496004113,0
T25,OSS1,T25,turbine,-71.10400076,41.14378195,9.0,2.0,9.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430,4556852,12964,7408,1.9154294967032,0
T13,OSS1,T13,turbine,-71.12551621,41.12670549,9.0,3.0,9.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578,4555000,11112,5556,1.9154421079217148,0
OSS1,OSS1,OSS1,substation,-71.12821296,41.21006175,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,321578,4564260,11112,14816,0.0,0
OSS2,OSS2,OSS2,substation,-71.05936992,41.12790742,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,327134,4555000,16668,5556,0.0,0
